time,altitude_m,desired_theta_rad,desired_theta_deg,mount_theta_rad,mount_theta_deg,mount_ang_vel_rad_s,mount_ang_vel_deg_s,tracking_error_deg,distance_m,rx_gain_dbi,fspl_db,pr_dbm,snr_db
35.7,7107.514,1.5322197007754008,87.78972214122834,1.5323007693580815,87.79436702886704,-0.00016617921595063587,-0.009521367716764526,-0.004644887638708231,7112.8058262964,8.999999914373,108.71702416281805,-85.71702424844506,31.31387562147438
35.75,7111.035,1.5322387829040123,87.7908154666619,1.5322973098216153,87.79416881202846,-6.919072932020897e-05,-0.003964336771480053,-0.0033533453665616397,7116.324208018139,8.99999995537103,108.72131961530019,-85.72131965992915,31.309580209990287
35.8,7114.559,1.532257862407608,87.79190864169314,1.5322956189842207,87.79407193418191,-3.381674789082211e-05,-0.0019375569310020354,-0.002163292488773351,7119.845590101024,8.999999981426628,108.72561660489824,-85.72561662347161,31.30528324644783
35.85,7111.035,1.5322387829040123,87.7908154666619,1.5322881965095796,87.79364665771143,-0.00014844949281922186,-0.008505529409399033,-0.0028311910495313927,7116.324208018139,8.999999968187439,108.72131961530019,-85.72131964711275,31.309580222806687
35.9,7103.991,1.53220058890419,87.78862711166937,1.5322763585965227,87.79296839525503,-0.000236758261142004,-0.013565249128293027,-0.0043412835856745085,7109.285448656637,8.999999925200857,108.71272414649883,-85.71272422129798,31.318175648621462
35.95,7093.429,1.532143177661944,87.78533768979206,1.5322584831701462,87.79194420876667,-0.0003575085275340151,-0.02048372976763565,-0.006606518974581971,7098.731326120253,8.999999826776953,108.69981988802388,-85.69982006124692,31.331079808672513
36.0,7086.389,1.5321048158382022,87.78313971919724,1.5322410677972158,87.7909463813991,-0.00034830745861924817,-0.01995654735181049,-0.007806662201866859,7091.696589795773,8.999999758124947,108.69120803379161,-85.69120827566667,31.33969159425277
36.05,7079.353,1.53206639969299,87.7809386362114,1.5322215009095652,87.78982528131851,-0.0003913377530144781,-0.022422001611862603,-0.008886645107093548,7084.665860928729,8.999999686573311,108.68259254582938,-85.68259285925606,31.348307010663376
36.1,7072.315,1.5320278962722929,87.77873255270865,1.5322002467925335,87.78860751011533,-0.00042508234063731395,-0.024355424064060494,-0.009874957406661833,7077.633144040809,8.999999612982355,108.67396606396456,-85.67396645098219,31.356933418937246
36.15,7065.28,1.5319893327187752,87.77652302384907,1.5321774244415094,87.78729988572307,-0.0004564470204879731,-0.026152487845282277,-0.010776861873999044,7070.603435407758,8.999999539059427,108.66533470159567,-85.66533516253624,31.3655647073832
36.2,7061.764,1.5319700304112147,87.77541708309099,1.5321570370428264,87.78613177382329,-0.00040774797366260944,-0.023362237995878967,-0.010714690732304818,7067.090083909784,8.999999544362371,108.6610176488943,-85.66101810453193,31.369881765387504
36.25,7054.731,1.5319313626593134,87.77320158410377,1.5321326415691532,87.7847340161426,-0.00048790947346244657,-0.02795515361384843,-0.011532432038813956,7060.0623895799245,8.999999472160226,108.6523758815588,-85.65237640939857,31.378523460520867
36.3,7051.214,1.531911997146647,87.77209202195989,1.5321110801230038,87.78349863627803,-0.0004312289229986271,-0.024707597291793292,-0.011406614318143656,7056.5480467574225,8.999999483614761,108.6480511614463,-85.64805167783155,31.38284819208789
36.35,7047.699,1.5318926233643095,87.77098198599874,1.5320894532135156,87.78225950564045,-0.00043253818976474217,-0.02478261275174843,-0.011277519641706165,7053.035705070618,8.999999495237029,108.64372675139572,-85.64372725615868,31.387172613760754
36.4,7044.185,1.5318732357964486,87.76987116018529,1.532068055405972,87.78103350157737,-0.00042795615087953793,-0.024520081262061396,-0.011162341392076886,7049.524365276356,8.999999505494753,108.63940142175164,-85.63940191625689,31.39149795366255
36.45,7040.669,1.5318538178542527,87.76875859405062,1.532046829637335,87.77981735461755,-0.0004245153727433507,-0.024322939196616978,-0.011058760566915914,7046.011029650819,8.999999514629684,108.63507147680355,-85.63507196217387,31.39582790774557
36.5,7037.156,1.531834397130767,87.76764586855981,1.5320257668911932,87.77861054815867,-0.0004212549228324034,-0.024136129177405895,-0.010964679598832934,7042.500694407918,8.999999522853003,108.63074307281872,-85.63074354996571,31.400156319953723
36.55,7033.641,1.5318149459640706,87.7665313988015,1.5320048459564255,87.777411866893,-0.00041841869535552673,-0.023973625313241823,-0.010880468091512704,7038.988363343201,8.999999530154078,108.6264100480217,-85.62641051786761,31.404489352051826
36.6,7030.128,1.5317954864602108,87.76541645135892,1.531984056149895,87.77622069872191,-0.0004157961306141547,-0.023823363422061386,-0.010804247363007306,7035.478033423457,8.999999536713826,108.62207733116426,-85.62207779445043,31.408822075469004
36.65,7030.128,1.5317954864602108,87.76541645135892,1.5319672781615798,87.77525939080273,-0.0003355597663077224,-0.01922615838382869,-0.00984293944383113,7035.478033423457,8.999999615487972,108.62207733116426,-85.62207771567628,31.408822154243154
36.7,7026.616,1.5317760130757279,87.76430070861521,1.5319478821133776,87.77414807910152,-0.00038792096403916744,-0.022226234024090474,-0.009847370486306486,7031.968705409318,8.9999996151417,108.61774368952582,-85.61774407438412,31.413155795535317
36.75,7023.102,1.5317565091387828,87.76318321534437,1.5319287340270442,87.77305097456886,-0.0003829617266752905,-0.02194209065353674,-0.009867759224490843,7028.457381588367,8.999999613546372,108.61340541817648,-85.6134058046301,31.417494065289333
36.8,7019.59,1.5317369968216417,87.76206524192366,1.5319095238834235,87.77195031441555,-0.00038420287242058043,-0.022013203066502472,-0.009885072491891966,7024.9480589183,8.999999612189093,108.60906745323567,-85.60906784104657,31.42183202887287
36.85,7019.59,1.5317369968216417,87.76206524192366,1.5318941921916078,87.77107187318173,-0.00030663383632223754,-0.017568824677169494,-0.009006631258058947,7024.9480589183,8.999999678052493,108.60906745323567,-85.60906777518318,31.42183209473626
36.9,7016.077,1.5317174594357204,87.76094583216765,1.5318760983466087,87.7700351722281,-0.00036187689998712407,-0.020734019072540005,-0.009089340060464156,7021.437739689002,8.999999672112391,108.6047260879205,-85.6047264158081,31.426173454111336
36.95,7009.056,1.531678353876641,87.7587052486769,1.531854222728204,87.76878179161928,-0.0004375123680944135,-0.025067612176584028,-0.010076542942357335,7014.422105457868,8.999999597020064,108.59604303887045,-85.59604344185038,31.434856428069054
37.0,7009.056,1.531678353876641,87.7587052486769,1.5318388234048879,87.7678994753859,-0.00030798646631602117,-0.017646324667056106,-0.009194226708989256,7014.422105457868,8.999999664501393,108.59604303887045,-85.59604337436906,31.434856495550378
37.05,7005.544,1.5316587633767746,87.757582795716,1.5318203982844212,87.76684379374615,-0.00036850240932828675,-0.02111363279491313,-0.00926099803014602,7010.912793519543,8.999999659610712,108.59169640514548,-85.59169674553478,31.43920312438466
